BookingID,CustomerID,RoomID,BookingDate,CheckInDate,CheckOutDate,NumberOfGuests,Status
B0000001,416,661,01-01-2024,11-01-2024,16-01-2024,1,Checked-Out
B0000002,299,539,01-01-2024,21-01-2024,27-01-2024,1,Checked-Out
B0000003,452,567,01-01-2024,15-01-2024,19-01-2024,1,Checked-Out
B0000004,721,197,01-01-2024,08-01-2024,16-01-2024,1,Checked-Out
B0000005,311,110,01-01-2024,18-01-2024,01-02-2024,2,Checked-Out
B0000006,983,506,01-01-2024,25-01-2024,26-01-2024,3,Checked-Out
B0000007,669,755,01-01-2024,01-01-2024,01-02-2024,2,Checked-Out
B0000008,669,271,01-01-2024,03-01-2024,11-01-2024,2,Checked-Out
B0000009,808,710,02-01-2024,11-01-2024,25-01-2024,2,Checked-Out
B0000010,406,360,02-01-2024,26-01-2024,30-01-2024,1,Checked-Out
B0000011,508,324,02-01-2024,23-01-2024,27-01-2024,1,Checked-Out
B0000012,460,730,03-01-2024,01-02-2024,03-02-2024,1,Checked-Out
B0000013,19,792,03-01-2024,24-01-2024,05-02-2024,1,Checked-Out
B0000014,127,142,03-01-2024,03-01-2024,01-02-2024,2,Checked-Out
B0000015,357,528,03-01-2024,21-01-2024,25-01-2024,1,Checked-Out
B0000016,936,687,03-01-2024,17-01-2024,18-01-2024,1,Checked-Out
B0000017,218,697,03-01-2024,20-01-2024,02-02-2024,1,Checked-Out
B0000018,587,854,03-01-2024,18-01-2024,24-01-2024,1,Checked-Out
B0000019,603,325,04-01-2024,07-01-2024,19-01-2024,1,Checked-Out
B0000020,599,204,04-01-2024,21-01-2024,01-02-2024,3,Checked-Out
B0000021,909,718,04-01-2024,21-01-2024,24-01-2024,2,Checked-Out
B0000022,6,826,04-01-2024,23-01-2024,01-02-2024,1,Checked-Out
B0000023,450,525,04-01-2024,12-01-2024,26-01-2024,1,Checked-Out
B0000024,283,306,04-01-2024,04-01-2024,17-01-2024,1,Checked-Out
B0000025,293,649,05-01-2024,02-02-2024,04-02-2024,2,Checked-Out
B0000026,58,752,05-01-2024,28-01-2024,31-01-2024,1,Checked-Out
B0000027,324,805,05-01-2024,06-01-2024,17-01-2024,2,Checked-Out
B0000028,53,441,05-01-2024,09-01-2024,20-01-2024,2,Checked-Out
B0000029,966,855,05-01-2024,21-01-2024,03-02-2024,2,Checked-Out
B0000030,373,614,06-01-2024,28-01-2024,01-02-2024,3,Checked-Out
B0000031,885,494,07-01-2024,17-01-2024,24-01-2024,2,Checked-Out
B0000032,671,421,07-01-2024,30-01-2024,13-02-2024,1,Checked-Out
B0000033,837,490,07-01-2024,11-01-2024,24-01-2024,1,Checked-Out
