PaymentID,BookingID,Amount,PaymentDate,PaymentMethod,Status
P0000001,B0000001,12500,16-01-2024,Cash,Success
P0000002,B0000002,9000,01-01-2024,UPI,Success
P0000003,B0000003,10000,01-01-2024,Card,Success
P0000004,B0000004,20000,01-01-2024,Cash,Success
P0000005,B0000005,84000,01-02-2024,Cash,Success
P0000006,B0000006,6000,26-01-2024,Online,Success
P0000007,B0000007,2500,01-01-2024,Cash,Success
P0000008,B0000008,20000,01-01-2024,Card,Success
P0000009,B0000009,84000,02-01-2024,Cash,Success
P0000010,B0000010,10000,30-01-2024,Card,Success
P0000011,B0000011,6000,27-01-2024,Online,Success
P0000012,B0000012,3000,03-01-2024,Online,Success
P0000013,B0000013,30000,05-02-2024,UPI,Success
P0000014,B0000014,25000,03-01-2024,Card,Success
P0000015,B0000015,6000,25-01-2024,Online,Success
P0000016,B0000016,2500,17-01-2024,UPI,Success
P0000017,B0000017,32500,03-01-2024,Card,Success
P0000018,B0000018,15000,18-01-2024,Cash,Success
P0000019,B0000019,18000,04-01-2024,Online,Success
P0000020,B0000020,66000,04-01-2024,UPI,Success
P0000021,B0000021,12000,21-01-2024,UPI,Success
P0000022,B0000022,13500,04-01-2024,Online,Success
P0000023,B0000023,21000,26-01-2024,Cash,Success
P0000024,B0000024,48000,09-01-2024,Cash,Success
P0000025,B0000025,5000,04-02-2024,UPI,Success
P0000026,B0000026,7500,31-01-2024,UPI,Success
P0000027,B0000027,66000,17-01-2024,Card,Success
P0000028,B0000028,27500,20-01-2024,Cash,Success
P0000029,B0000029,32500,05-01-2024,Card,Success
P0000030,B0000030,16000,28-01-2024,Cash,Success
P0000031,B0000031,17500,07-01-2024,Cash,Success
P0000032,B0000032,21000,30-01-2024,UPI,Success
P0000033,B0000033,32500,11-01-2024,UPI,Success
P0000034,B0000034,54000,08-01-2024,UPI,Success
P0000035,B0000035,15000,06-02-2024,Card,Success
P0000036,B0000036,20000,12-02-2024,UPI,Success
P0000037,B0000037,20000,17-01-2024,Cash,Success
P0000038,B0000038,32500,03-02-2024,Card,Success
P0000039,B0000039,22500,19-01-2024,Card,Success
P0000040,B0000040,16500,09-01-2024,Online,Success
P0000041,B0000041,20000,07-02-2024,UPI,Success
P0000042,B0000042,16000,05-02-2024,Card,Success
P0000043,B0000043,35000,13-02-2024,UPI,Success
P0000044,B0000044,84000,10-01-2024,Card,Success
P0000045,B0000045,25000,10-01-2024,UPI,Success
P0000046,B0000046,20000,08-02-2024,UPI,Success
P0000047,B0000047,12500,10-01-2024,Card,Success
P0000048,B0000048,22500,08-02-2024,UPI,Success
P0000049,B0000049,15000,11-01-2024,Online,Success
